account_title,account_number,normal_balance,description,is_active,expense_class,default_nature,default_apply_reserve
Transfers for Project Equity Share/LGU Counterpart,5-02-15-020,Debit,This account is used to record the transfer of LGU counterpart funding for projects/activities funded from grants/transfers from other government agencies or foreign funding institutions equity component.,TRUE,MOOE,,FALSE
"Taxes, Duties and Licenses",5-02-16-010,Debit,"This account is used to record the amount of taxes, duties, licenses and other fees due to regulatory agencies.",TRUE,MOOE,,FALSE
Fidelity Bond Premiums,5-02-16-020,Debit,This account is used to record the amount of premiums paid by the agency for the fidelity bonds of accountable officers.,TRUE,MOOE,,FALSE
Insurance Expenses,5-02-16-030,Debit,This account is used to record the amount of premiums paid by the agency for the insurable risks of government property.,TRUE,MOOE,,FALSE
Advertising Expenses,5-02-99-010,Debit,,TRUE,MOOE,,TRUE
Printing and Publication Expenses,5-02-99-020,Debit,"This account is used to record the costs of printing and binding of manuscripts/documents, forms, manuals, brochures, pamphlets, and the like.",TRUE,MOOE,,TRUE
Representation Expenses,5-02-99-030,Debit,This account is used to record the expenses incurred for official meetings/ conferences/entertainments.,TRUE,MOOE,,TRUE
Transportation and Delivery Expenses,5-02-99-040,Debit,This account is used to record the cost of transporting goods/merchandise sold in the course of business operations. This includes the cost of moving agency’s own people and property from one station to another.,TRUE,MOOE,,TRUE
Rent Expenses,5-02-99-050,Debit,"This account is used to record rental of land, buildings, facilities, equipment, vehicles, machineries, and the like.",TRUE,MOOE,,FALSE
Membership Dues and Contributions to Organizations,5-02-99-060,Debit,This account is used to record membership fees/dues/contributions to recognized/authorized professional organizations.,TRUE,MOOE,,FALSE
Subscription Expenses,5-02-99-070,Debit,This account is used to record the cost of subscription to library and other reading materials.,TRUE,MOOE,,FALSE
Donations,5-02-99-080,Debit,This account is used to record the amount of aids/assistance to other levels of government/individuals/institutions.,TRUE,MOOE,,FALSE
Other Maintenance and Operating Expenses,5-02-99-990,Debit,This account is used to record expenses not falling under any of the specific maintenance and other operating expense accounts.,TRUE,MOOE,,TRUE
Management Supervision/Trusteeship Fees,5-03-01-010,Debit,"This account is used to record the amount paid to an appointed person or institution that manages assets, including mutual funds and unit trusts, for the benefit of the government; or an agent who handles the administrative aspects of bond issuance and ensures that the borrower complies with the terms of the bond indenture",TRUE,CO,,FALSE
Interest Expenses,5-03-01-020,Debit,"This account is used to record interest charges paid for the use of borrowed money. This also includes discounts on treasury bills and treasury bonds; premiums on bond investments; coupon payments/interests on domestic and foreign bonds issued by the NG; and interest payment on NG-direct and relent loans, and NG-assumed liabilities.",TRUE,CO,,FALSE
Guarantee Fees,5-03-01-030,Debit,This account is used to record guarantee fee paid by a debtor government agency to the guarantor for the assurance to pay the agency's obligation to the creditor as stipulated in the guarantee clause.,TRUE,CO,,FALSE
Bank Charges,5-03-01-040,Debit,"This account is used to record the charges imposed by the bank for various services rendered excluding interest charges. This also includes cost of checkbooks, penalties and surcharges on overdrafts.",TRUE,CO,,FALSE
Commitment Fees,5-03-01-050,Debit,This account is used to record the commitment charges imposed by creditors based on an agreed percentage of the undrawn loan amount.,TRUE,CO,,FALSE
Other Financial Charges,5-03-01-990,Debit,This account is used to record the charges not falling under any of the specific financial expense accounts.,TRUE,CO,,FALSE
Direct Materials,5-04-01-010,Debit,This account is used to record the cost of raw materials used as inputs to production or manufacturing. These are specifically and consistently assigned to or associated with the manufacture of a product or a particular work order.,TRUE,Other,,FALSE
Direct Labor,5-04-01-020,Debit,This account is used to record the cost of payroll or part of wage-bill that can be specifically and consistently assigned to or associated with the manufacture of a product or a particular work order.,TRUE,Other,,FALSE
